File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Msvc\PlatformBase.h,165,66,13,1,27,3,72,457,33,254
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Serialization\ByteSerializer.h,360,262,161,17,53,0,45,238,27,214
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Serialization\ISerializer.h,131,55,34,0,13,0,63,413,27,216
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Serialization\StringSerializer.h,370,260,169,19,55,2,55,310,28,223
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Serialization\XmlSerializer.h,93,51,38,0,11,0,31,204,26,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Text\CharArray.h,367,248,133,20,54,2,65,358,26,206
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Text\CharList.h,446,311,157,33,68,3,67,412,27,212
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Text\String.h,111,29,12,0,11,0,71,543,27,219
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Text\StringUtil.h,44,7,1,0,8,0,29,200,29,200
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Text\Text.h,123,65,44,6,15,0,43,257,26,204
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Threads\Atomic.h,147,86,62,0,17,0,44,258,26,203
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Threads\ConditionVariable.h,60,22,11,0,9,0,29,231,29,231
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Threads\IRunnable.h,55,16,6,0,7,0,32,252,29,249
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Threads\Lock.h,61,20,7,0,8,0,33,251,30,248
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Threads\Mutex.h,62,21,9,0,9,0,32,235,29,232
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Threads\Thread.h,78,29,14,0,11,0,38,299,32,292
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Threads\ThreadException.h,48,12,4,0,7,0,29,210,29,210
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Threads\ThreadPool.h,141,63,42,0,17,21,61,690,26,205
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Threads\ThreadPoolWorker.h,191,83,45,4,23,0,85,481,26,204
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Threads\Msvc\AtomicImpl.h,148,67,35,6,11,0,70,453,27,212
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Time\Time.h,132,65,37,0,16,0,51,294,27,220
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Time\Timer.h,104,38,19,2,18,0,48,256,27,217
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Win32\ComUtil - Copy.h,175,75,37,5,21,0,79,520,28,227
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Win32\ComUtil.h,179,77,37,5,22,0,80,499,31,227
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\CorePch.cpp,35,1,0,0,5,0,29,205,29,205
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Application\Application.cpp,103,48,26,4,17,0,38,217,26,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Application\Win32\ApplicationImpl.cpp,463,311,193,48,63,1,89,545,26,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Application\Win32\ApplicationImpl.h,107,58,44,0,16,0,33,224,27,218
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\FileSystem\Archive.cpp,104,49,23,3,16,1,39,231,30,214
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\FileSystem\File.cpp,112,58,26,12,18,0,36,222,30,214
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\FileSystem\Win32\FileImpl.cpp,410,234,153,39,42,0,134,449,30,213
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\FileSystem\Win32\FileImpl.h,83,33,18,0,7,0,43,297,30,213
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Math\Random.cpp,51,11,4,1,5,0,35,239,29,203
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Memory\Allocator.cpp,92,31,16,3,10,0,51,353,29,202
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Serialization\XmlSerializer.cpp,217,139,66,14,40,0,38,213,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Serialization\XmlSerializerImpl.cpp,249,164,92,15,43,0,42,226,30,208
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Serialization\XmlSerializerImpl.h,98,51,39,0,12,0,35,213,30,208
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Text\String.cpp,66,24,10,2,9,0,33,217,30,212
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Text\TextUtil.cpp,73,30,19,4,11,0,32,208,29,204
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Text\StringImpl.h,99,44,25,2,12,0,43,276,30,212
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Threads\ConditionVariable.cpp,85,29,10,0,11,0,45,270,30,208
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Threads\Mutex.cpp,67,21,8,0,10,0,36,215,30,205
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Threads\Thread.cpp,117,45,18,4,17,0,55,343,30,206
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Threads\ThreadPool.cpp,339,189,110,24,39,2,111,647,30,206
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Threads\Win32\ConditionVariableImpl.cpp,140,73,39,4,16,4,51,285,30,211
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Threads\Win32\ThreadImpl.cpp,285,139,65,6,37,5,109,859,30,209
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Threads\Win32\ConditionVariableImpl.h,73,25,14,0,9,5,39,340,36,295
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Threads\Win32\MutexImpl.h,72,20,9,0,9,0,43,325,30,213
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Threads\Win32\ThreadImpl.h,84,34,23,0,13,9,37,305,30,208
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Time\Time.cpp,72,30,12,4,10,0,32,205,29,201
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Time\Win32\TimeImpl.cpp,158,87,66,4,27,8,44,392,29,204
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Source\Time\Win32\TimeImpl.h,54,18,9,0,7,0,29,204,29,204
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\CoreTestPch.cpp,34,2,0,0,3,0,29,206,29,206
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Main.cpp,124,72,54,0,19,3,33,222,29,201
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\CoreTestPch.h,157,97,3,2,18,0,42,235,29,209
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Common.h,85,41,20,0,12,4,32,213,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Containers\Array.cpp,230,138,80,17,44,0,48,263,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Containers\DynamicArray.cpp,356,224,146,26,53,0,79,351,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Containers\List.cpp,630,400,285,46,88,6,142,712,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Containers\Map.cpp,520,306,211,38,69,3,145,781,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Containers\Queue.cpp,316,195,129,25,42,3,79,329,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Containers\Stack.cpp,221,115,76,10,34,0,72,298,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Containers\Array.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Containers\DynamicArray.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Containers\List.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Containers\Map.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Containers\Queue.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Containers\Stack.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\EventSystem\Event.cpp,205,127,100,4,40,0,38,211,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\EventSystem\Event.h,49,15,6,0,5,0,29,199,29,199
